domain,policy,domain_use,legitimate_dmarc_fail,auth_fail_messages,legitimate_messages,legitimate_policy_applied,suspicious_messages,total_messages,auth_ratio
domain_50,monitor,0,3964,3964,3964,0,11499,15463,0.0
domain_51,reject,0,16,14726,15098,117,17,15115,0.024639025036428668
domain_52,monitor,0,311,1116,14857,16,229,15086,0.9248838931143568
domain_53,monitor,0,12,109,1533,3,12894,14427,0.928897586431833
domain_54,monitor,0,335,2147,4396,5,9637,14033,0.5116014558689718
domain_55,monitor,0,186,1527,7346,1,6682,14028,0.7921317723931391
domain_56,reject,1,5858,13748,13748,0,2,13750,0.0
domain_57,monitor,0,112,113,182,0,13390,13572,0.3791208791208791
domain_58,monitor,0,5588,5877,12007,25,1199,13206,0.5105355209461148
domain_59,monitor,0,11857,11857,11857,3,720,12577,0.0
domain_60,monitor,0,189,334,3269,2,9277,12546,0.8978280819822576
domain_61,monitor,0,0,0,0,0,11451,11451,1.0
domain_62,monitor,0,78,324,2876,1,7607,10483,0.8873435326842837
domain_63,monitor,0,575,1018,9153,3,1191,10344,0.8887796350923195
domain_64,monitor,0,560,1090,6857,12,3136,9993,0.8410383549657284
domain_65,monitor,0,9832,9832,9832,44,0,9832,0.0
domain_66,unknown,0,9591,9591,9591,0,130,9721,0.0
domain_67,monitor,0,400,1434,8275,10,900,9175,0.8267069486404833
domain_68,monitor,0,61,62,274,5,8703,8977,0.7737226277372263
domain_69,monitor,0,306,8340,8446,0,9,8455,0.012550319677954062
domain_70,monitor,0,369,589,6896,6,1474,8370,0.9145881670533643
domain_71,monitor,0,1393,2531,5689,9,2431,8120,0.5551063455791879
domain_72,monitor,0,976,1650,4331,1,3596,7927,0.6190256291849457
domain_73,monitor,1,0,0,0,0,7366,7366,1.0
domain_74,unknown,0,1929,1929,1929,15,4670,6599,0.0
domain_75,monitor,0,0,0,0,0,6506,6506,1.0
domain_76,monitor,0,0,44,326,0,5863,6189,0.8650306748466258
domain_77,monitor,0,1,25,25,0,5916,5941,0.0
domain_78,monitor,0,129,159,251,0,5641,5892,0.3665338645418327
domain_79,monitor,0,5687,5687,5687,0,0,5687,0.0
domain_80,monitor,0,486,1530,5309,2,46,5355,0.7118101337351667
domain_81,monitor,1,0,0,0,0,5297,5297,1.0
domain_82,monitor,0,2,15,68,0,5170,5238,0.7794117647058824
domain_83,monitor,0,393,1535,4676,1,317,4993,0.6717279726261762
domain_84,monitor,0,4,17,251,0,4349,4600,0.9322709163346613
domain_85,monitor,0,3640,3640,3640,0,905,4545,0.0
domain_86,reject,0,0,2,4330,0,0,4330,0.9995381062355658
domain_87,reject,0,6,501,4265,2,12,4277,0.8825322391559203
domain_88,monitor,0,75,419,3819,1,127,3946,0.8902854150301126
domain_89,unknown,0,86,86,86,0,3823,3909,0.0
domain_90,monitor,0,46,589,3218,1,224,3442,0.8169670602858918
domain_91,monitor,0,87,399,3189,3,231,3420,0.8748824082784572
domain_92,reject,0,2977,2977,2977,0,0,2977,0.0
domain_93,unknown,0,1152,1152,1152,28,1681,2833,0.0
domain_94,monitor,0,1298,2499,2514,0,131,2645,0.0059665871121718375
domain_95,monitor,0,29,166,2309,0,196,2505,0.9281074058033781
domain_96,monitor,0,290,409,2271,4,81,2352,0.8199031263760458
domain_97,reject,1,6,2260,2260,1,5,2265,0.0
domain_98,unknown,0,40,40,40,0,2184,2224,0.0
domain_99,unknown,0,2131,2131,2131,6,66,2197,0.0
domain_100,monitor,0,90,285,1950,0,243,2193,0.8538461538461538
domain_101,unknown,0,108,517,517,12,1669,2186,0.0
domain_102,unknown,0,697,697,697,0,1314,2011,0.0
domain_103,monitor,1,0,0,0,0,1860,1860,1.0
domain_104,monitor,0,96,121,1693,0,80,1773,0.928529238038984
domain_105,reject,0,450,450,450,9,1291,1741,0.0
domain_106,monitor,0,18,130,1581,0,143,1724,0.9177735610373181
domain_107,unknown,0,683,1311,1311,0,371,1682,0.0
domain_108,monitor,0,21,161,1567,1,98,1665,0.8972559029993619
domain_109,monitor,0,32,360,1521,4,135,1656,0.7633136094674556
domain_110,monitor,0,61,61,61,0,1453,1514,0.0
domain_111,monitor,0,68,591,591,0,867,1458,0.0
domain_112,reject,0,0,0,0,0,1440,1440,1.0
domain_113,reject,1,1,1,1,1,1424,1425,0.0
domain_114,monitor,0,310,389,1391,0,5,1396,0.7203450754852624
domain_115,monitor,0,374,402,1289,1,102,1391,0.6881303335919318
domain_116,monitor,0,26,510,510,0,876,1386,0.0
domain_117,monitor,0,28,513,1336,2,13,1349,0.6160179640718563
domain_118,monitor,0,2,129,1039,0,258,1297,0.875842155919153
domain_119,unknown,0,1282,1282,1282,1,14,1296,0.0
domain_120,monitor,0,1053,1087,1270,0,4,1274,0.14409448818897638
domain_121,monitor,0,48,48,48,0,1213,1261,0.0
domain_122,unknown,0,741,741,741,0,434,1175,0.0
domain_123,monitor,0,838,874,1054,1,119,1173,0.17077798861480076
domain_124,monitor,0,90,438,1068,2,60,1128,0.5898876404494382
domain_125,monitor,0,70,135,805,1,321,1126,0.8322981366459627
domain_126,monitor,0,0,172,1064,0,41,1105,0.8383458646616542
domain_127,monitor,0,0,96,958,0,35,993,0.8997912317327766
domain_128,monitor,0,0,991,991,0,0,991,0.0
domain_129,monitor,0,961,961,961,0,0,961,0.0
domain_130,unknown,0,1,1,1,1,938,939,0.0
domain_131,monitor,0,33,33,33,0,884,917,0.0
domain_132,monitor,0,0,0,0,0,854,854,1.0
domain_133,unknown,0,47,47,47,0,788,835,0.0
domain_134,unknown,0,212,212,212,4,596,808,0.0
domain_135,monitor,1,0,0,0,0,805,805,1.0
domain_136,reject,0,0,2,19,0,764,783,0.8947368421052632
domain_137,monitor,0,2,58,339,0,432,771,0.8289085545722714
domain_138,monitor,0,12,734,765,7,0,765,0.040522875816993466
domain_139,monitor,0,710,710,710,0,0,710,0.0
domain_140,monitor,0,8,23,597,1,90,687,0.9614740368509213
domain_141,monitor,0,0,0,0,0,679,679,1.0
domain_142,unknown,0,241,241,241,0,411,652,0.0
domain_143,monitor,0,166,257,615,2,32,647,0.5821138211382114
domain_144,unknown,0,31,185,185,0,431,616,0.0
domain_145,monitor,1,39,39,39,0,563,602,0.0
domain_146,reject,0,1,1,1,1,597,598,0.0
domain_147,monitor,0,13,78,78,0,480,558,0.0
domain_148,unknown,0,0,0,0,0,558,558,1.0
domain_149,unknown,0,0,0,0,0,551,551,1.0
domain_150,monitor,0,537,537,537,6,6,543,0.0
domain_151,unknown,0,26,207,207,0,334,541,0.0
domain_152,monitor,0,527,527,527,10,1,528,0.0
domain_153,monitor,0,1,9,9,0,517,526,0.0
domain_154,monitor,0,519,519,519,9,4,523,0.0
domain_155,monitor,0,517,517,517,14,1,518,0.0
domain_156,unknown,0,190,190,190,0,316,506,0.0
domain_157,monitor,0,500,500,500,10,4,504,0.0
domain_158,monitor,0,0,23,378,1,124,502,0.9391534391534392
domain_159,unknown,0,389,389,389,3,112,501,0.0
domain_160,monitor,0,8,88,449,2,50,499,0.8040089086859689
domain_161,unknown,0,315,315,315,0,178,493,0.0
domain_162,monitor,0,488,488,488,10,1,489,0.0
domain_163,monitor,0,4,60,171,0,314,485,0.6491228070175439
domain_164,monitor,0,476,476,476,9,6,482,0.0
domain_165,reject,0,2,2,5,2,472,477,0.6
domain_166,monitor,0,474,474,474,5,1,475,0.0
domain_167,unknown,0,40,40,40,0,394,434,0.0
domain_168,monitor,0,28,52,397,0,22,419,0.8690176322418136
domain_169,reject,1,416,416,416,0,0,416,0.0
domain_170,monitor,1,20,66,390,0,2,392,0.8307692307692308
domain_171,unknown,0,2,4,4,0,387,391,0.0
domain_172,monitor,0,8,32,185,0,200,385,0.827027027027027
domain_173,reject,1,383,383,383,383,0,383,0.0
domain_174,monitor,0,40,100,338,5,45,383,0.7041420118343196
domain_175,unknown,0,362,362,362,4,16,378,0.0
domain_176,reject,0,0,1,370,0,0,370,0.9972972972972973
domain_177,monitor,1,310,310,310,0,47,357,0.0
domain_178,monitor,1,0,0,0,0,341,341,1.0
domain_179,monitor,0,5,41,325,0,10,335,0.8738461538461538
domain_180,unknown,0,193,193,193,0,123,316,0.0
domain_181,monitor,0,0,0,309,0,3,312,1.0
domain_182,unknown,0,117,117,117,0,194,311,0.0
domain_183,unknown,0,1,1,1,0,301,302,0.0
domain_184,reject,0,0,232,301,0,0,301,0.2292358803986711
domain_185,unknown,0,0,0,0,0,298,298,1.0
domain_186,unknown,0,0,0,0,0,295,295,1.0
domain_187,unknown,0,80,80,80,1,213,293,0.0
domain_188,unknown,0,0,0,0,0,285,285,1.0
domain_189,unknown,0,186,186,186,0,88,274,0.0
domain_190,monitor,0,28,54,253,0,21,274,0.7865612648221344
domain_191,monitor,0,0,0,0,0,274,274,1.0
domain_192,monitor,0,12,35,115,0,154,269,0.6956521739130435
domain_193,monitor,0,0,2,263,0,1,264,0.9923954372623575
domain_194,monitor,0,62,67,162,0,94,256,0.5864197530864198
domain_195,monitor,0,254,254,254,0,0,254,0.0
domain_196,unknown,0,117,117,117,0,136,253,0.0
domain_197,unknown,0,87,87,87,0,165,252,0.0
domain_198,monitor,1,0,0,0,0,248,248,1.0
domain_199,unknown,0,22,22,22,0,225,247,0.0
domain_200,unknown,0,222,222,222,4,19,241,0.0
domain_201,reject,1,0,0,0,0,240,240,1.0
domain_202,monitor,0,0,0,0,0,240,240,1.0
domain_203,monitor,0,1,1,1,0,238,239,0.0
domain_204,reject,0,0,0,0,0,238,238,1.0
domain_205,unknown,0,0,0,0,0,236,236,1.0
domain_206,unknown,0,159,159,159,0,75,234,0.0
domain_207,monitor,0,0,233,233,9,0,233,0.0
domain_208,unknown,0,29,29,29,0,200,229,0.0
domain_209,reject,1,1,1,1,1,227,228,0.0
domain_210,monitor,0,46,128,128,0,89,217,0.0
domain_211,reject,0,1,215,215,0,1,216,0.0
domain_212,monitor,0,214,214,214,2,0,214,0.0
domain_213,monitor,0,25,166,166,0,45,211,0.0
domain_214,reject,0,3,3,3,3,208,211,0.0
domain_215,reject,0,0,0,0,0,210,210,1.0
domain_216,monitor,0,0,0,0,0,206,206,1.0
domain_217,unknown,0,179,179,179,0,26,205,0.0
domain_218,unknown,0,200,200,200,2,4,204,0.0
domain_219,monitor,0,198,198,198,0,0,198,0.0
domain_220,monitor,0,0,0,0,0,196,196,1.0
domain_221,unknown,0,6,6,6,0,190,196,0.0
domain_222,unknown,0,24,64,91,0,105,196,0.2967032967032967
domain_223,reject,1,191,191,191,95,3,194,0.0
domain_224,monitor,0,0,0,0,0,190,190,1.0
domain_225,monitor,0,64,64,64,0,122,186,0.0
domain_226,monitor,0,185,185,185,0,0,185,0.0
domain_227,monitor,0,181,181,181,0,0,181,0.0
domain_228,monitor,0,0,7,7,0,168,175,0.0
domain_229,unknown,0,0,0,0,0,168,168,1.0
domain_230,monitor,0,0,1,164,0,0,164,0.9939024390243902
domain_231,reject,0,137,154,154,134,10,164,0.0
domain_232,monitor,0,2,2,3,0,161,164,0.3333333333333333
domain_233,monitor,0,1,130,130,0,33,163,0.0
domain_234,reject,1,0,0,0,0,161,161,1.0
domain_235,unknown,0,3,3,3,0,156,159,0.0
domain_236,unknown,0,129,129,129,1,25,154,0.0
domain_237,unknown,0,13,17,17,0,136,153,0.0
domain_238,monitor,0,150,150,150,0,0,150,0.0
domain_239,monitor,1,0,0,0,0,146,146,1.0
domain_240,unknown,0,121,121,121,0,21,142,0.0
domain_241,unknown,0,128,128,128,0,14,142,0.0
domain_242,monitor,0,4,140,140,0,1,141,0.0
domain_243,monitor,0,20,41,137,0,3,140,0.7007299270072993
domain_244,unknown,0,26,26,26,0,112,138,0.0
domain_245,monitor,0,0,0,0,0,136,136,1.0
domain_246,monitor,1,0,0,0,0,133,133,1.0
domain_247,unknown,0,52,52,52,0,80,132,0.0
domain_248,unknown,0,68,68,68,0,62,130,0.0
domain_249,unknown,0,4,7,7,0,122,129,0.0
domain_250,reject,0,0,124,129,8,0,129,0.03875968992248062
domain_251,monitor,0,129,129,129,0,0,129,0.0
domain_252,reject,1,129,129,129,55,0,129,0.0
domain_253,monitor,0,82,91,91,0,35,126,0.0
domain_254,unknown,0,0,0,0,0,122,122,1.0
domain_255,monitor,0,6,6,6,0,115,121,0.0
domain_256,unknown,0,9,96,96,0,24,120,0.0
domain_257,unknown,0,26,107,107,0,11,118,0.0
domain_258,unknown,0,103,103,103,2,13,116,0.0
domain_259,unknown,0,113,113,113,1,1,114,0.0
domain_260,monitor,0,11,94,94,0,19,113,0.0
domain_261,unknown,0,0,0,0,0,112,112,1.0
domain_262,monitor,0,107,107,107,0,4,111,0.0
domain_263,monitor,1,0,0,0,0,110,110,1.0
domain_264,reject,1,109,109,109,68,0,109,0.0
domain_265,monitor,0,108,108,108,0,0,108,0.0
domain_266,monitor,0,2,20,64,0,43,107,0.6875
domain_267,monitor,0,0,4,4,0,101,105,0.0
domain_268,reject,1,104,104,104,0,0,104,0.0
domain_269,unknown,0,0,0,0,0,104,104,1.0
domain_270,monitor,0,0,0,19,0,80,99,1.0
domain_271,monitor,1,0,0,0,0,98,98,1.0
domain_272,reject,1,97,97,97,43,1,98,0.0
domain_273,unknown,0,42,42,42,0,56,98,0.0
domain_274,monitor,0,98,98,98,0,0,98,0.0
domain_275,reject,1,0,0,0,0,97,97,1.0
domain_276,reject,1,0,0,0,0,97,97,1.0
domain_277,reject,1,0,0,0,0,97,97,1.0
domain_278,reject,1,0,0,0,0,97,97,1.0
domain_279,reject,1,0,0,0,0,97,97,1.0
domain_280,reject,1,0,0,0,0,97,97,1.0
domain_281,reject,1,0,0,0,0,97,97,1.0
domain_282,monitor,0,93,93,93,0,0,93,0.0
domain_283,reject,1,93,93,93,0,0,93,0.0
domain_284,reject,0,0,0,0,0,91,91,1.0
domain_285,monitor,0,0,0,0,0,90,90,1.0
domain_286,monitor,0,88,88,88,1,2,90,0.0
domain_287,unknown,0,12,12,12,0,78,90,0.0
domain_288,reject,1,0,0,0,0,89,89,1.0
domain_289,monitor,0,86,86,86,0,0,86,0.0
domain_290,monitor,1,0,0,0,0,86,86,1.0
domain_291,unknown,0,1,1,1,0,78,79,0.0
domain_292,unknown,0,10,10,10,0,68,78,0.0
domain_293,unknown,0,29,29,29,0,48,77,0.0
domain_294,reject,1,0,0,0,0,76,76,1.0
domain_295,monitor,1,0,0,0,0,74,74,1.0
domain_296,unknown,0,39,39,39,0,34,73,0.0
domain_297,unknown,0,0,0,0,0,73,73,1.0
domain_298,monitor,0,71,71,71,0,0,71,0.0
domain_299,reject,1,0,0,0,0,66,66,1.0
domain_300,monitor,0,0,0,0,0,66,66,1.0
domain_301,monitor,0,0,0,0,0,66,66,1.0
domain_302,monitor,0,65,65,65,0,0,65,0.0
domain_303,monitor,1,0,0,0,0,64,64,1.0
domain_304,reject,0,0,2,60,0,3,63,0.9666666666666667
domain_305,unknown,0,43,43,43,0,20,63,0.0
domain_306,monitor,0,0,62,62,0,0,62,0.0
domain_307,monitor,0,62,62,62,0,0,62,0.0
domain_308,reject,1,62,62,62,0,0,62,0.0
domain_309,reject,0,0,0,0,0,61,61,1.0
domain_310,monitor,0,60,60,60,0,0,60,0.0
domain_311,monitor,0,0,0,60,0,0,60,1.0
domain_312,monitor,1,0,0,0,0,59,59,1.0
domain_313,monitor,0,0,0,59,2,0,59,1.0
domain_314,monitor,0,0,59,59,0,0,59,0.0
domain_315,monitor,1,58,58,58,0,0,58,0.0
domain_316,unknown,0,25,25,25,0,32,57,0.0
domain_317,monitor,0,56,56,56,0,0,56,0.0
domain_318,reject,1,0,0,0,0,55,55,1.0
domain_319,monitor,0,2,2,2,0,53,55,0.0
domain_320,monitor,0,0,0,0,0,54,54,1.0
domain_321,monitor,0,3,31,31,0,22,53,0.0
domain_322,reject,0,1,1,1,1,52,53,0.0
domain_323,monitor,0,0,0,0,0,53,53,1.0
domain_324,unknown,0,11,11,11,0,40,51,0.0
domain_325,reject,1,0,0,0,0,51,51,1.0
domain_326,unknown,0,0,0,0,0,50,50,1.0
domain_327,unknown,0,24,24,24,0,26,50,0.0
domain_328,unknown,0,0,0,0,0,49,49,1.0
domain_329,unknown,0,0,0,0,0,49,49,1.0
domain_330,monitor,0,0,0,0,0,48,48,1.0
domain_331,unknown,0,27,27,27,0,21,48,0.0
domain_332,monitor,0,0,0,0,0,48,48,1.0
domain_333,reject,1,0,0,0,0,47,47,1.0
domain_334,unknown,0,15,15,15,0,31,46,0.0
domain_335,monitor,0,0,0,0,0,45,45,1.0
domain_336,monitor,0,45,45,45,0,0,45,0.0
domain_337,unknown,0,0,0,0,0,45,45,1.0
domain_338,monitor,0,44,44,44,0,0,44,0.0
domain_339,reject,1,44,44,44,0,0,44,0.0
domain_340,monitor,1,0,0,0,0,44,44,1.0
domain_341,unknown,0,0,0,0,0,44,44,1.0
domain_342,monitor,0,44,44,44,0,0,44,0.0
domain_343,reject,1,44,44,44,0,0,44,0.0
domain_344,unknown,0,0,0,0,0,43,43,1.0
domain_345,monitor,0,0,43,43,0,0,43,0.0
domain_346,unknown,0,1,1,1,0,42,43,0.0
domain_347,reject,1,0,0,0,0,43,43,1.0
domain_348,monitor,0,42,42,42,0,0,42,0.0
domain_349,unknown,0,17,17,17,0,24,41,0.0
domain_350,unknown,0,0,0,0,0,40,40,1.0
domain_351,unknown,0,7,7,7,0,33,40,0.0
domain_352,reject,0,0,0,0,0,39,39,1.0
domain_353,monitor,0,2,2,2,0,37,39,0.0
domain_354,monitor,0,0,30,30,0,9,39,0.0
domain_355,reject,1,0,0,0,0,37,37,1.0
domain_356,unknown,0,0,0,0,0,36,36,1.0
domain_357,unknown,0,26,26,26,0,10,36,0.0
domain_358,monitor,0,0,0,0,0,36,36,1.0
domain_359,unknown,0,0,0,0,0,35,35,1.0
domain_360,monitor,0,35,35,35,0,0,35,0.0
domain_361,unknown,0,0,0,0,0,34,34,1.0
domain_362,unknown,0,10,10,10,0,24,34,0.0
domain_363,monitor,1,0,0,0,0,34,34,1.0
domain_364,unknown,0,26,26,26,0,7,33,0.0
domain_365,monitor,0,33,33,33,0,0,33,0.0
domain_366,unknown,0,10,10,10,0,23,33,0.0
domain_367,monitor,1,0,0,0,0,33,33,1.0
domain_368,reject,1,0,0,0,0,32,32,1.0
domain_369,monitor,0,0,0,0,0,32,32,1.0
domain_370,monitor,1,0,0,0,0,32,32,1.0
domain_371,unknown,0,0,0,0,0,32,32,1.0
domain_372,unknown,0,3,3,3,0,28,31,0.0
domain_373,reject,1,0,0,0,0,31,31,1.0
domain_374,monitor,0,0,0,0,0,31,31,1.0
domain_375,reject,1,0,0,0,0,31,31,1.0
domain_376,reject,1,0,0,0,0,31,31,1.0
domain_377,monitor,0,0,0,0,0,31,31,1.0
domain_378,monitor,0,0,31,31,0,0,31,0.0
domain_379,reject,1,0,0,0,0,31,31,1.0
domain_380,monitor,1,0,0,0,0,30,30,1.0
domain_381,reject,1,30,30,30,0,0,30,0.0
domain_382,unknown,0,0,0,0,0,30,30,1.0
domain_383,unknown,0,0,0,0,0,30,30,1.0
domain_384,unknown,0,0,0,0,0,29,29,1.0
domain_385,monitor,0,29,29,29,0,0,29,0.0
domain_386,monitor,0,28,28,28,0,0,28,0.0
domain_387,reject,1,28,28,28,14,0,28,0.0
domain_388,unknown,0,0,0,0,0,28,28,1.0
domain_389,monitor,0,28,28,28,0,0,28,0.0
domain_390,unknown,0,0,0,0,0,28,28,1.0
domain_391,monitor,0,27,27,27,0,0,27,0.0
domain_392,monitor,0,27,27,27,0,0,27,0.0
domain_393,reject,1,0,0,0,0,27,27,1.0
domain_394,monitor,0,27,27,27,0,0,27,0.0
domain_395,monitor,0,26,26,26,0,0,26,0.0
domain_396,monitor,0,0,0,0,0,26,26,1.0
domain_397,reject,1,0,0,0,0,26,26,1.0
domain_398,reject,1,0,0,0,0,25,25,1.0
domain_399,monitor,0,0,0,0,0,25,25,1.0
domain_400,monitor,0,25,25,25,0,0,25,0.0
domain_401,reject,1,0,0,0,0,25,25,1.0
domain_402,monitor,0,25,25,25,0,0,25,0.0
domain_403,monitor,0,25,25,25,0,0,25,0.0
domain_404,monitor,0,25,25,25,0,0,25,0.0
domain_405,reject,1,25,25,25,0,0,25,0.0
domain_406,monitor,1,0,0,0,0,25,25,1.0
domain_407,unknown,0,2,2,2,0,23,25,0.0
domain_408,reject,0,25,25,25,0,0,25,0.0
domain_409,reject,1,24,24,24,0,0,24,0.0
domain_410,reject,1,0,0,0,0,24,24,1.0
domain_411,monitor,0,23,23,23,0,0,23,0.0
domain_412,monitor,0,23,23,23,0,0,23,0.0
domain_413,monitor,0,23,23,23,0,0,23,0.0
domain_414,unknown,0,0,0,0,0,23,23,1.0
domain_415,monitor,0,23,23,23,0,0,23,0.0
domain_416,unknown,0,0,0,0,0,23,23,1.0
domain_417,monitor,0,23,23,23,0,0,23,0.0
domain_418,monitor,0,0,0,0,0,23,23,1.0
domain_419,monitor,0,23,23,23,0,0,23,0.0
domain_420,unknown,0,4,4,4,0,19,23,0.0
domain_421,monitor,0,23,23,23,0,0,23,0.0
domain_422,unknown,0,7,7,7,0,16,23,0.0
domain_423,monitor,0,22,22,22,0,0,22,0.0
domain_424,monitor,0,22,22,22,0,0,22,0.0
domain_425,monitor,0,22,22,22,0,0,22,0.0
domain_426,reject,1,22,22,22,0,0,22,0.0
domain_427,monitor,1,0,0,0,0,22,22,1.0
domain_428,monitor,0,22,22,22,0,0,22,0.0
domain_429,monitor,0,22,22,22,0,0,22,0.0
domain_430,monitor,0,22,22,22,0,0,22,0.0
domain_431,monitor,1,0,0,0,0,22,22,1.0
domain_432,monitor,0,22,22,22,0,0,22,0.0
domain_433,monitor,0,22,22,22,0,0,22,0.0
domain_434,reject,1,22,22,22,0,0,22,0.0
domain_435,monitor,0,22,22,22,0,0,22,0.0
domain_436,unknown,0,4,4,4,0,18,22,0.0
domain_437,monitor,0,22,22,22,0,0,22,0.0
domain_438,monitor,0,22,22,22,0,0,22,0.0
domain_439,monitor,0,22,22,22,0,0,22,0.0
domain_440,monitor,0,22,22,22,0,0,22,0.0
domain_441,monitor,0,22,22,22,0,0,22,0.0
domain_442,monitor,0,22,22,22,0,0,22,0.0
domain_443,monitor,0,21,21,21,0,0,21,0.0
domain_444,monitor,0,0,0,0,0,21,21,1.0
domain_445,unknown,0,0,0,0,0,21,21,1.0
domain_446,monitor,0,9,9,9,0,12,21,0.0
domain_447,monitor,1,0,0,0,0,21,21,1.0
domain_448,unknown,0,16,16,16,0,5,21,0.0
domain_449,monitor,1,7,8,8,0,13,21,0.0
domain_450,monitor,0,21,21,21,0,0,21,0.0
domain_451,unknown,0,17,17,17,1,4,21,0.0
domain_452,monitor,1,0,0,0,0,21,21,1.0
domain_453,monitor,0,0,21,21,0,0,21,0.0
domain_454,monitor,0,20,20,20,0,0,20,0.0
domain_455,reject,1,20,20,20,0,0,20,0.0
domain_456,monitor,0,20,20,20,0,0,20,0.0
domain_457,monitor,0,20,20,20,0,0,20,0.0
domain_458,unknown,0,0,0,0,0,20,20,1.0
domain_459,monitor,0,20,20,20,0,0,20,0.0
domain_460,unknown,0,0,0,0,0,19,19,1.0
domain_461,reject,0,0,0,0,0,19,19,1.0
domain_462,monitor,0,19,19,19,0,0,19,0.0
domain_463,monitor,0,19,19,19,0,0,19,0.0
domain_464,unknown,0,0,0,0,0,19,19,1.0
domain_465,monitor,0,0,19,19,0,0,19,0.0
domain_466,monitor,0,18,18,18,0,0,18,0.0
domain_467,unknown,0,0,0,0,0,18,18,1.0
domain_468,unknown,0,0,0,0,0,18,18,1.0
domain_469,monitor,0,0,18,18,0,0,18,0.0
domain_470,monitor,0,18,18,18,0,0,18,0.0
domain_471,monitor,0,18,18,18,0,0,18,0.0
domain_472,monitor,0,0,0,0,0,18,18,1.0
domain_473,unknown,0,0,0,0,0,18,18,1.0
domain_474,reject,1,0,0,0,0,17,17,1.0
domain_475,reject,1,17,17,17,0,0,17,0.0
domain_476,monitor,0,17,17,17,0,0,17,0.0
domain_477,reject,1,17,17,17,0,0,17,0.0
domain_478,reject,1,17,17,17,0,0,17,0.0
