year,mountain,max
2005,Independence.Pass..Butte...Aspen.,16.3
2018,Revelstoke,36.4
2013,Revelstoke,43.6
1995,Revelstoke,39
2002,Revelstoke,38.6
2004,Revelstoke,8.6
1995,squaw,116.5
1995,Revelstoke,41.7
2013,Revelstoke,6.7
1996,Revelstoke,54.1
1989,Berthoud.Pass,21.5
2001,snowbird,36.6
2018,Revelstoke,38.3
2005,GrizzleyPeak.Keystone.Abasin.Loveland.,13
2005,FreemontPass.skiCooper.Copper.Breck.,18.1
2011,Park.Reservoir.Powderhorn.,41.3
2005,Berthoud.Pass,19.8
2004,WolfCreekSummit,36.6
2018,Revelstoke,35.9
1996,Revelstoke,16.1
2009,Revelstoke,35
1994,Revelstoke,12.4
1995,Revelstoke,24.7
1993,Revelstoke,18
2017,Revelstoke,30.7
2004,Porphyry.Creek..Monarch.,14.2
1993,Butte,26.5
2000,Revelstoke,2.7
1995,Revelstoke,8.8
2008,Tower.Steamboat.,51.5
2008,Revelstoke,1.1
2004,Park.Reservoir.Powderhorn.,27.7
2014,Revelstoke,26.7
1996,Revelstoke,35.5
1992,squaw,33.7
1995,Revelstoke,44.4
2004,North.Lost.Trail,15.8
1998,Revelstoke,66.8
2004,FreemontPass.skiCooper.Copper.Breck.,16.3
2016,Red.Mtn.Pass.Telluride.,23.3
1998,Revelstoke,26.9
2007,Revelstoke,40.7
2004,Cascade.Purgatory.,15.6
2018,Revelstoke,47.8
2008,Revelstoke,16.7
1999,Revelstoke,69.1
2004,Butte,12
2010,Revelstoke,37.9
1994,Revelstoke,3.3
2009,Whistler,27.91338583
2003,Red.Mtn.Pass.Telluride.,19.5
1995,Revelstoke,3
2012,Revelstoke,8.7
1997,Revelstoke,46.1
2003,GrizzleyPeak.Keystone.Abasin.Loveland.,23.4
1992,Revelstoke,13.7
2009,Berthoud.Pass,24.7
2001,Revelstoke,13.5
1995,Revelstoke,40.2
1996,Revelstoke,39.4
2013,Mt. Baker,81.4
2014,Butte,16.4
2017,Revelstoke,15.9
2003,Berthoud.Pass,26
2014,Revelstoke,40.1
1991,VailMountain,27.4
2016,Revelstoke,12.3
1997,Revelstoke,51.2
2002,WolfCreekSummit,10.3
2000,Revelstoke,5.6
1995,Revelstoke,13.9
2011,Revelstoke,13.8
1998,Revelstoke,65.5
2000,Revelstoke,55.7
2002,VailMountain,14.6
1996,Independence.Pass..Butte...Aspen.,22.1
1989,North.Lost.Trail,19.6
2013,Revelstoke,11.5
2014,Independence.Pass..Butte...Aspen.,22.2
1987,squaw,33.3
2002,Red.Mtn.Pass.Telluride.,14.9
1995,Revelstoke,26.8
2002,Porphyry.Creek..Monarch.,8.5
2018,Revelstoke,4
1995,Revelstoke,30.9
2002,North.Lost.Trail,12
1999,Revelstoke,57.9
1993,Red.Mtn.Pass.Telluride.,36.5
1995,Revelstoke,0
1992,Revelstoke,8.6
2003,Revelstoke,44.7
1999,Revelstoke,67.9
2008,Big Sky,26.5
1985,FreemontPass.skiCooper.Copper.Breck.,18.3
2003,Revelstoke,20.1
1994,Revelstoke,42.9
2003,Revelstoke,24.7
2013,GrizzleyPeak.Keystone.Abasin.Loveland.,18.4
2003,Cascade.Purgatory.,9.6
2001,VailMountain,19.8
1983,Butte,17.1
2018,Park.Reservoir.Powderhorn.,13.7
2015,Revelstoke,35.9
2017,Porphyry.Creek..Monarch.,22.1
2001,Tower.Steamboat.,39.8
2005,Revelstoke,28.3
2008,LakeEldora,14.5
2008,Revelstoke,0
2014,Revelstoke,31.9
1996,Revelstoke,52
2000,Revelstoke,4.3
1995,Revelstoke,43.4
2015,Revelstoke,4.2
1999,Revelstoke,25.9
2004,Revelstoke,0.7
2001,Park.Reservoir.Powderhorn.,23.5
2013,FreemontPass.skiCooper.Copper.Breck.,19.1
2000,Revelstoke,57.8
1992,Revelstoke,14.6
2000,GrizzleyPeak.Keystone.Abasin.Loveland.,17
2001,Revelstoke,18.3
1994,Revelstoke,11.7
1992,Revelstoke,12.6
1999,Revelstoke,66.7
1999,Revelstoke,27
2016,Revelstoke,17.3
2016,WolfCreekSummit,30.1
1998,Revelstoke,15.7
2011,FreemontPass.skiCooper.Copper.Breck.,27.5
2001,GrizzleyPeak.Keystone.Abasin.Loveland.,16.5
2001,Butte,12
2000,Revelstoke,8
2001,Berthoud.Pass,22.3
2007,Revelstoke,15.8
2011,Revelstoke,14
2015,North.Lost.Trail,11.7
2005,Revelstoke,38.7
2004,Revelstoke,23.1
2000,Park.Reservoir.Powderhorn.,22.1
2012,Berthoud.Pass,13
1993,Revelstoke,27.6
2017,Revelstoke,15.1
2000,North.Lost.Trail,16.9
1999,Revelstoke,17.6
2017,Independence.Pass..Butte...Aspen.,17.7
2005,Revelstoke,2.2
1993,Revelstoke,19.1
2007,Revelstoke,0.1
1991,Cascade.Purgatory.,15.6
2000,Revelstoke,8.7
1997,Revelstoke,50.7
2000,Independence.Pass..Butte...Aspen.,14.7
2000,FreemontPass.skiCooper.Copper.Breck.,18.8
2001,Revelstoke,34
2000,Cascade.Purgatory.,12.4
1995,Revelstoke,26.3
2016,Revelstoke,23.7
2003,snowbird,36.2
2017,Tower.Steamboat.,44.5
2000,Revelstoke,63.1
1999,Red.Mtn.Pass.Telluride.,30.4
2002,Revelstoke,1.6
1999,Porphyry.Creek..Monarch.,14.7
2018,Butte,10.1
1993,Revelstoke,31.9
2013,Revelstoke,25.2
1983,squaw,110.2
2017,Revelstoke,32.8
1981,Cascade.Purgatory.,4.5
1997,Revelstoke,41.6
1991,Park.Reservoir.Powderhorn.,28.8
2013,Revelstoke,15.6
1993,Revelstoke,8.2
1999,Berthoud.Pass,23.1
1995,Revelstoke,26.7
2003,Revelstoke,10.6
1993,Revelstoke,20.8
2013,Revelstoke,15.4
2018,Revelstoke,13.6
1994,Revelstoke,30.4
2003,Revelstoke,29.4
2018,Red.Mtn.Pass.Telluride.,16.4
2010,Independence.Pass..Butte...Aspen.,16.5
2002,Revelstoke,29.4
2012,Revelstoke,19.5
1993,Revelstoke,14.2
2002,Revelstoke,1.8
1998,Revelstoke,NA
1997,Revelstoke,10.2
1998,Park.Reservoir.Powderhorn.,36.2
2016,Revelstoke,50.4
1994,Revelstoke,2.3
2011,Tower.Steamboat.,79.7
2014,Jackson Hole,36.8
2013,Revelstoke,21.5
2016,squaw,42.5
1998,North.Lost.Trail,20.8
2012,Revelstoke,14.4
1995,Revelstoke,27.1
2011,Revelstoke,18.6
2000,Revelstoke,6.7
1995,Revelstoke,1.8
1998,LakeEldora,15.4
2016,Independence.Pass..Butte...Aspen.,17.1
2007,Revelstoke,51.4
1995,Revelstoke,45
2018,Revelstoke,42.4
2016,Revelstoke,47.6
2005,Revelstoke,34.8
1999,Revelstoke,70
1998,Revelstoke,8.5
2007,GrizzleyPeak.Keystone.Abasin.Loveland.,20.6
1993,Revelstoke,27.9
1995,Revelstoke,29.2
2018,Revelstoke,3.8
1999,Revelstoke,1.1
1992,Revelstoke,4.7
1995,Revelstoke,31.1
1991,Porphyry.Creek..Monarch.,12.6
2012,Revelstoke,1.8
2000,Revelstoke,23.9
1994,snowbird,31.9
1997,WolfCreekSummit,43.8
2002,Revelstoke,56.6
2003,Revelstoke,25.5
1997,Revelstoke,0.6
1999,Revelstoke,24.6
2015,squaw,18.4
2004,Revelstoke,6.3
2006,Revelstoke,48.6
2002,Revelstoke,47.5
1994,Revelstoke,31.8
1997,Tower.Steamboat.,62.4
2017,Revelstoke,1.5
1994,Revelstoke,16.1
2018,Revelstoke,45.2
2015,Revelstoke,12.6
2013,Revelstoke,43.5
2001,Revelstoke,38.3
1998,Red.Mtn.Pass.Telluride.,25.3
1997,Revelstoke,5.1
2013,Big Sky,19.7
2013,snowbird,35
1999,Revelstoke,29.4
2017,VailMountain,20.3
1999,Revelstoke,28.5
2005,Revelstoke,14.2
1997,Porphyry.Creek..Monarch.,23.7
2006,Revelstoke,4.6
1995,Revelstoke,7.4
2000,Revelstoke,52.8
1998,snowbird,44.7
1997,Revelstoke,5.4
1997,Park.Reservoir.Powderhorn.,40.8
2018,Tower.Steamboat.,45.4
1994,Revelstoke,23
1989,WolfCreekSummit,38.7
2010,Revelstoke,40.6
1994,Revelstoke,50.5
1995,Revelstoke,30.8
2007,Revelstoke,36.8
1997,VailMountain,33.6
2015,Revelstoke,0.6
2014,Revelstoke,46.3
2014,Revelstoke,34
1996,Red.Mtn.Pass.Telluride.,27.6
1997,Revelstoke,8
1994,Revelstoke,48.1
2017,Butte,21.3
1998,Butte,14.8
2002,Revelstoke,48.4
2015,Revelstoke,2.6
1995,Revelstoke,25.7
1999,Revelstoke,59.8
1990,Jackson Hole,23.1
1996,Big Sky,30.7
1996,Park.Reservoir.Powderhorn.,26.6
1994,Revelstoke,48.9
1996,Revelstoke,30.5
1995,Revelstoke,32.8
1986,FreemontPass.skiCooper.Copper.Breck.,20.5
1997,Revelstoke,35.6
2014,Revelstoke,44.5
2003,Park.Reservoir.Powderhorn.,25.4
1994,Revelstoke,44.5
1996,LakeEldora,24
1995,Revelstoke,44.7
2004,Revelstoke,8.4
2000,Revelstoke,56.7
1997,Cascade.Purgatory.,21.4
1999,Revelstoke,72.7
1996,Revelstoke,46.8
2017,Revelstoke,52.2
2004,Revelstoke,40.4
2000,Revelstoke,42.9
1995,VailMountain,31.3
1997,Revelstoke,8.4
1998,Berthoud.Pass,23.8
1996,VailMountain,35
1995,Tower.Steamboat.,69.7
2000,Tower.Steamboat.,47
1995,Red.Mtn.Pass.Telluride.,36.8
1993,Revelstoke,1.9
2004,Revelstoke,27
1994,Revelstoke,26.8
2002,Revelstoke,37.5
2008,Revelstoke,49.9
1993,Revelstoke,15.5
2008,Revelstoke,47.4
1993,Revelstoke,6.6
2008,Revelstoke,44.1
1994,Revelstoke,4.1
1993,Revelstoke,22.3
1999,Revelstoke,36.3
1995,LakeEldora,14.2
2000,Revelstoke,48.1
2007,Revelstoke,62.3
2017,Revelstoke,9.7
1995,Independence.Pass..Butte...Aspen.,27.7
2013,Revelstoke,13.9
2006,Red.Mtn.Pass.Telluride.,24.4
2018,Revelstoke,12.1
1988,VailMountain,22
1995,Revelstoke,37.3
2014,Revelstoke,16.5
1999,North.Lost.Trail,12.9
2016,Revelstoke,8.8
2005,snowbird,74.6
1997,Revelstoke,18.9
1998,Revelstoke,29.2
1993,snowbird,66.9
2000,LakeEldora,14.1
1992,Revelstoke,7.2
2007,Revelstoke,46.9
2009,Revelstoke,NA
1997,squaw,90
1996,Revelstoke,12.9
1999,Revelstoke,28
2016,Revelstoke,18.3
1995,FreemontPass.skiCooper.Copper.Breck.,27.9
1996,Revelstoke,61.5
2014,Revelstoke,30.5
1995,Porphyry.Creek..Monarch.,24
2004,Revelstoke,42
1998,Revelstoke,65.2
2017,Revelstoke,0.9
1995,Revelstoke,42.7
2004,Red.Mtn.Pass.Telluride.,25.4
2017,Revelstoke,51.9
2007,Revelstoke,12.3
2006,Revelstoke,47.2
1996,Revelstoke,55.1
1993,Revelstoke,32
2014,snowbird,32.5
1995,Butte,24.1
2001,Revelstoke,1.7
2010,WolfCreekSummit,37.1
2002,Revelstoke,34.9
1995,Berthoud.Pass,23.1
1997,LakeEldora,20.3
2012,Revelstoke,27.4
1994,Porphyry.Creek..Monarch.,16
2014,Revelstoke,3.6
1998,squaw,87
1995,Park.Reservoir.Powderhorn.,45.8
2004,Revelstoke,10.7
1995,Revelstoke,25.9
1995,Revelstoke,24.8
2014,Big Sky,30
2003,FreemontPass.skiCooper.Copper.Breck.,22.6
1994,North.Lost.Trail,15.4
2005,Revelstoke,17.7
1995,Revelstoke,27.4
2013,Revelstoke,14.4
1993,Revelstoke,18.8
2016,Revelstoke,9.3
1997,Revelstoke,39.2
1999,Revelstoke,69.8
2014,Porphyry.Creek..Monarch.,20.6
1998,Revelstoke,0.6
2002,Berthoud.Pass,11.1
1996,Revelstoke,33.4
2018,Revelstoke,11.4
1994,LakeEldora,15.3
2002,snowbird,50.2
2018,Revelstoke,19.3
1998,Revelstoke,19.5
1994,Cascade.Purgatory.,12.9
2013,Revelstoke,2.1
1994,Butte,13.6
2005,Revelstoke,0
1998,Independence.Pass..Butte...Aspen.,17.6
1994,Berthoud.Pass,20.2
1999,Park.Reservoir.Powderhorn.,31.9
2008,Revelstoke,22.3
2003,Revelstoke,35.9
1996,Revelstoke,44.4
1993,Tower.Steamboat.,68
1997,Revelstoke,22
2011,Jackson Hole,44
2018,Revelstoke,28
1988,Porphyry.Creek..Monarch.,15.1
1996,Revelstoke,53
2014,Revelstoke,32.8
1993,Revelstoke,20.2
1984,Cascade.Purgatory.,14.3
2003,Revelstoke,28.8
1999,Revelstoke,50.2
2011,WolfCreekSummit,38.9
1993,Revelstoke,21.8
2003,Porphyry.Creek..Monarch.,17.2
2002,Revelstoke,4.3
1999,Revelstoke,35.3
1993,LakeEldora,15.2
2011,GrizzleyPeak.Keystone.Abasin.Loveland.,31.8
2000,Big Sky,18.1
1997,Revelstoke,0.7
2008,Berthoud.Pass,24.4
1993,Revelstoke,33.3
2003,Revelstoke,5.2
1993,squaw,99.9
2019,Revelstoke,28.7
1993,GrizzleyPeak.Keystone.Abasin.Loveland.,24.3
1994,Revelstoke,12
1994,Revelstoke,0
1993,FreemontPass.skiCooper.Copper.Breck.,24.2
2000,Revelstoke,56.6
2003,Revelstoke,44.3
1995,WolfCreekSummit,50.7
1998,Revelstoke,30.6
1993,Cascade.Purgatory.,25.3
2007,Revelstoke,8.4
1995,Revelstoke,13.7
1996,Revelstoke,64.1
1997,Revelstoke,5.2
2017,Revelstoke,55.2
2018,Revelstoke,47.6
2014,Red.Mtn.Pass.Telluride.,24.5
1993,Berthoud.Pass,30.8
2001,Revelstoke,27.2
1996,Revelstoke,49.6
1999,FreemontPass.skiCooper.Copper.Breck.,21.6
1991,Jackson Hole,29
1992,VailMountain,23.1
2004,Revelstoke,40
2011,Revelstoke,6.8
2003,Revelstoke,39.6
1999,Revelstoke,64.4
1992,Porphyry.Creek..Monarch.,15.1
2012,Park.Reservoir.Powderhorn.,20.1
1994,Revelstoke,10.1
1995,Revelstoke,14.6
2017,Revelstoke,54.1
1997,Revelstoke,48.8
1993,Revelstoke,5.2
2017,Jackson Hole,42
1995,Revelstoke,19.8
1995,Revelstoke,18.7
2000,Revelstoke,66.5
2002,Revelstoke,17
1984,LakeEldora,18.9
1994,Revelstoke,20.9
1984,squaw,49.6
1999,Revelstoke,66.3
2018,WolfCreekSummit,22.5
1993,WolfCreekSummit,47.4
2001,Revelstoke,30.4
2001,Revelstoke,14.9
1992,North.Lost.Trail,14.9
1992,Independence.Pass..Butte...Aspen.,14.2
1992,GrizzleyPeak.Keystone.Abasin.Loveland.,13
2016,GrizzleyPeak.Keystone.Abasin.Loveland.,19.8
2002,Revelstoke,68.1
2006,WolfCreekSummit,25.7
2000,Revelstoke,63.4
2017,Berthoud.Pass,18.6
1992,FreemontPass.skiCooper.Copper.Breck.,17.3
1999,Revelstoke,58.8
2012,Revelstoke,16.3
1995,Revelstoke,30.6
2000,Revelstoke,22.9
2003,WolfCreekSummit,24.6
1996,Cascade.Purgatory.,15.4
2012,FreemontPass.skiCooper.Copper.Breck.,12.4
2016,VailMountain,21.3
2015,FreemontPass.skiCooper.Copper.Breck.,22.5
2000,Revelstoke,64.4
1992,Cascade.Purgatory.,10.9
2000,Revelstoke,58.7
2002,GrizzleyPeak.Keystone.Abasin.Loveland.,9.8
2010,Revelstoke,39
2008,FreemontPass.skiCooper.Copper.Breck.,26.1
1994,Revelstoke,14.4
1992,Berthoud.Pass,23.3
1995,Revelstoke,9.1
2002,Revelstoke,16.7
2016,Revelstoke,34.8
2017,Revelstoke,32.1
1997,Revelstoke,28.2
1999,Revelstoke,65
1998,Revelstoke,65.4
2003,LakeEldora,17.5
1991,WolfCreekSummit,40.6
2010,Revelstoke,32.2
2004,Berthoud.Pass,14.9
1997,Revelstoke,43
1999,Revelstoke,0.4
1999,Revelstoke,66.2
1991,Tower.Steamboat.,52
1991,Red.Mtn.Pass.Telluride.,25.7
1994,Revelstoke,2
1995,Revelstoke,35.6
2018,Jackson Hole,33.2
1993,Revelstoke,34.2
1998,Revelstoke,1.1
1996,Revelstoke,48.8
1995,snowbird,58.9
1999,Revelstoke,58.1
1997,Revelstoke,28.9
1994,Revelstoke,51.1
2005,Revelstoke,34.1
1993,Revelstoke,29.3
1997,Revelstoke,15
1991,GrizzleyPeak.Keystone.Abasin.Loveland.,13
1997,Revelstoke,41.8
2011,Red.Mtn.Pass.Telluride.,33.7
2007,Butte,11.1
1996,Revelstoke,35.7
1996,Revelstoke,58.3
1998,Revelstoke,48.8
1993,Independence.Pass..Butte...Aspen.,24.8
2001,WolfCreekSummit,41.2
1997,Berthoud.Pass,31.4
2006,Revelstoke,44.5
2014,Revelstoke,36.9
1993,Revelstoke,11.2
2017,Revelstoke,28.4
1994,Revelstoke,35
1997,Revelstoke,16.5
1991,Berthoud.Pass,23.8
2004,Revelstoke,29.4
2012,Revelstoke,29.4
2008,VailMountain,29.4
1995,Revelstoke,43.7
1990,WolfCreekSummit,30.6
1996,Revelstoke,56.1
2010,Butte,13.3
2010,Cascade.Purgatory.,17.4
1995,Revelstoke,28.7
2010,LakeEldora,11.6
1999,Revelstoke,59.3
2004,Tower.Steamboat.,40.6
2004,Revelstoke,30
2012,Revelstoke,22.1
1994,Revelstoke,50
1997,Revelstoke,13.7
1995,Revelstoke,42.6
2010,Red.Mtn.Pass.Telluride.,24.2
2014,Revelstoke,31
2005,Mt. Baker,32.1
1998,Revelstoke,35.2
1990,Red.Mtn.Pass.Telluride.,21
2016,Revelstoke,37.4
1990,Park.Reservoir.Powderhorn.,23.1
1994,FreemontPass.skiCooper.Copper.Breck.,16.7
1995,Revelstoke,32.6
1998,Revelstoke,53.7
1993,Revelstoke,4.2
1999,squaw,74.3
1994,Revelstoke,16.9
2003,Independence.Pass..Butte...Aspen.,17.5
1999,Revelstoke,22.2
2008,Revelstoke,48.7
2003,Revelstoke,2.4
2002,Revelstoke,11.6
1990,North.Lost.Trail,10.5
1999,Revelstoke,1
2010,Revelstoke,41
1993,Revelstoke,21
2018,Revelstoke,33.9
1995,Revelstoke,36.5
2002,Revelstoke,36.1
2011,Revelstoke,5.2
1999,Revelstoke,58.5
1990,FreemontPass.skiCooper.Copper.Breck.,19.5
2004,Revelstoke,11.7
1990,Cascade.Purgatory.,5
2017,Revelstoke,46.5
1999,Revelstoke,60.5
1999,Butte,14.6
1998,Tower.Steamboat.,54
1990,Berthoud.Pass,15.9
2007,Revelstoke,47.1
1989,Red.Mtn.Pass.Telluride.,24.6
1999,Revelstoke,6.8
1994,Revelstoke,4.6
2008,Jackson Hole,36.9
2000,Revelstoke,64.3
1992,Revelstoke,10.7
2016,North.Lost.Trail,13.4
1999,Revelstoke,67.2
2006,Revelstoke,39
1989,LakeEldora,12.9
2015,Revelstoke,38.1
1992,Butte,11.7
1995,Revelstoke,25.4
1997,Revelstoke,9.4
2014,Revelstoke,14.7
1996,Revelstoke,1.5
1994,Revelstoke,52.6
2012,LakeEldora,11.1
1989,Independence.Pass..Butte...Aspen.,16.6
2002,Revelstoke,32.4
1989,FreemontPass.skiCooper.Copper.Breck.,19.3
2001,Revelstoke,38.6
2016,Revelstoke,5.4
1994,Revelstoke,24.4
1989,Cascade.Purgatory.,17.5
2017,Revelstoke,37.2
2014,Revelstoke,5.6
1997,Revelstoke,53.5
2000,Revelstoke,26.7
1989,Butte,14.7
2004,Whistler,33.66141732
2018,Revelstoke,32.8
1999,Revelstoke,9.8
2018,GrizzleyPeak.Keystone.Abasin.Loveland.,18.7
2002,Revelstoke,33.8
1996,Revelstoke,49.3
1988,WolfCreekSummit,25.7
1988,Tower.Steamboat.,55.6
2017,Big Sky,22.2
1999,Jackson Hole,36.2
2012,Revelstoke,20.4
2004,Revelstoke,31.9
2006,North.Lost.Trail,17.4
1993,Revelstoke,10.2
2016,Berthoud.Pass,23.6
1999,Revelstoke,57.4
1988,Red.Mtn.Pass.Telluride.,22.8
2008,North.Lost.Trail,30.8
1998,Revelstoke,46
2006,Revelstoke,3.4
2007,Revelstoke,59.5
1998,Revelstoke,64.8
2015,Revelstoke,34.7
2005,Park.Reservoir.Powderhorn.,48.9
1993,Revelstoke,8.1
1999,Revelstoke,21.1
2014,Revelstoke,48.7
2015,Revelstoke,31.5
1999,Revelstoke,13
1999,Revelstoke,28.3
1992,WolfCreekSummit,29.1
2007,Revelstoke,58.6
1995,North.Lost.Trail,25.4
1998,Porphyry.Creek..Monarch.,18.9
2004,Revelstoke,13.7
1997,Revelstoke,43.1
1988,Independence.Pass..Butte...Aspen.,13.8
2016,Revelstoke,13.5
2007,Revelstoke,14.3
2007,Porphyry.Creek..Monarch.,15.6
2018,Revelstoke,25.7
1995,Revelstoke,27
2013,Revelstoke,29.3
1988,GrizzleyPeak.Keystone.Abasin.Loveland.,16.8
2014,Revelstoke,48.9
2000,Red.Mtn.Pass.Telluride.,23
2002,Revelstoke,37.1
1995,Revelstoke,37.5
2007,squaw,32.2
1997,Revelstoke,41.3
2003,Tower.Steamboat.,54.4
2009,Tower.Steamboat.,52.1
1999,Revelstoke,83.2
1990,LakeEldora,16.2
1992,Revelstoke,12.7
2008,Revelstoke,26.4
